中小河流域隐患点 27031
117.3219 36.5072 林枝村(泥石流)
117.2936 36.4983 芦葫峪村北(泥石流)
117.2922 36.4978 芦葫峪村南(泥石流)
117.2028 36.4869 苗家峪村(崩塌)
117.2533 36.4869 碾槽村(泥石流)
117.2564 36.4711 碾槽村公路旁(崩塌)
117.2028 36.5089 汪家场村公路(崩塌)
118.0944 37.1067 毛园村
118.0831 37.1072 清河中学
118.0847 37.1064 王圈村
118.0789 37.1122 王圈险工
117.8189 36.9994 利民闸险工
117.6989 37.0311 霍坡险工、坡庄险工
117.4989 37.0289 魏桥险工
118.5092 37.1714 佛王险工
118.5436 37.1897 常寨险工
117.8722 36.8772 长山险工
117.8206 36.8742 东吕险工、北吕险工
117.8189 36.9994 焦桥险工
102.6142 29.4144 河西乡西南村10组
101.7153 31.7411 太阳河乡松都村
101.0375 31.7928 二金龙沟
101.0264 32.195 明达沟
101.0275 32.4303 昂口（巴尔隆）
101.2903 31.7794 尤日沟
100.9881 32.2683 尕古玛
118.1003 37.8461 下圈村
118.1214 37.6953 东城区
118.1003 37.6972 西城区
118.1511 37.7969 城北工业园
118.1625 37.6972 经济开发区
117.9658 37.6164 黄升镇
117.9914 37.6278 潘家沟闸
116.7667 37.0325 甄寺小学
116.8667 36.9667 明贾大洼
117.0917 37.0622 垛石桥
117.0083 37.0278 老杨沟
117.1558 37.1178 商桥
117.3867 37.2439 卢兰
116.9911 37.0306 李家坊子
116.8822 36.9994 鲁家
119.2111 35.8119 山阳河邱村
114.4703 33.34 孙柺
114.62 33.26 前陈
114.6906 33.2097 孟营
114.6706 33.2397 杨河口
114.23 33.4206 史彭
114.3797 33.4 大屯东
114.41 33.3997 朱里镇南
114.6706 33.2397 杨河口
114.2161 33.21 雷庄
114.2344 33.1631 菀坡村
109.1164 34.7636 南社
109.1111 34.8914 丑家
109.0667 34.8167 庄里
109.1458 34.8325 宫里
109.25 34.85 五里墩
109.35 34.95 美原
109.3128 35.0261 张家庄
102.0531 31.1667 曾达乡坛罐窑村
101.8533 32.7822 塔哇村
111.7733 34.8333 杨树洼
101.7921 22.8612 南旺村石屏寨
101.965 22.7506 巴嘎村大石板
101.56 22.5171 整董村上曼箐
101.5087 22.4383 滑石板村青年箐
120.7842 29.3736 小泉
120.8433 29.3294 门溪
102.1681 22.6092 龙塘村
96.5833 33.5858 无
94.1575 38.2881 锦泰矿业有限公司
102.5153 29.5392 富乡乡双河沟
109.3783 24.2425 穿山镇龙平村弓村屯
117.2881 36.5642 吴家村南(泥石流)
117.2889 36.5031 枣林2号(滑坡)
117.1228 36.7281 厫而村（滑坡）
107.9611 25.0989 川山镇木论社区明伟屯
104.1375 32.1631 白草河
102.6 36.4 碾线沟泥石流
102.3 36.3167 瞿昙镇阳坡村三、四社
114.5575 33.6097 马门
114.23 33.4206 史彭
114.4756 33.6567 邓城
114.5436 33.6133 赵集
103.6542 24.6606 秧田坝
103.7456 24.6322 爵册村
103.5886 24.52 午街铺
103.72 24.6044 山口村
103.7033 24.6947 小木龙
102.805 34.1597 降扎乡
102.8856 30.1531 思延场镇
102.9022 30.1517 周村
102.8728 30.0547 半沟村隐患点
102.8219 30.1381 红岩村隐患点
102.8261 30.1319 老场村隐患点
104.6553 31.0978 杰兴场镇
111.0406 23.3544 赤水村
104.59 31.1647 瓦店场镇
104.4081 31.4042 宝林涌泉村
101.0719 32.5428 洞窝村当木达
100.7889 38.4675 金木达
101.215 31.8056 卡龙沟
101.0375 31.7928 二金龙沟
104.8422 31.7 花庙村2社
104.6031 28.0908 白云村四社火石地滑坡
104.6683 27.8867 红竹村田湾头滑坡
104.6631 27.9294 龙洞沟滑坡
104.5672 28.1742 漆树湾滑坡
104.8531 31.6806 魏家桥
104.835 31.5736 洞洞店
104.8347 31.5733 王家拱桥
104.8975 31.6769 酒店村10组
104.825 31.6383 侯家沟村8,9社
104.7892 31.6414 新荣村7，8社
104.1408 32.6028 涪江上游
104.6339 31.3186 龙王村7组
104.6169 31.2692 天鹅村2组
105.08 31.1 潼川镇长沟村5组
105.08 31.1 潼川镇花园村2组
105.08 31.1 潼川镇蟠龙村6组
111.2881 34.6817 菜园乡
111.3958 34.7269 张茅乡
111.5756 34.7206 观音堂镇
111.4233 34.7792 王家后乡
111.4786 34.7211 硖石乡
111.2189 34.6297 西李村乡
111.4708 34.6181 宫前乡
111.4181 34.54 店子乡
106.07 31.3547 滨江办事处
104.2795 30.9886 金雁大桥
104.3742 30.9428 友谊村
104.222 31.0058 新平大桥
98.7506 31.2239 金沙乡哈巴村滑坡
98.6972 31.5328 日火村
98.3961 32.0569 麦拉村
98.4214 31.8383 西巴村
102.5819 26.6211 参鱼河隐患点
103.7228 28.2419 黄桷树不稳定斜坡
104.61 28.72 羊土坝
104.4278 28.6289 安边小学
104.5336 28.6925 金沙广场
104.5233 28.6919 金沙江柏溪高速大桥
104.5008 28.6731 周坝村
102.542 31.8342 砍竹村
102.292 31.8694 卓克基
102.75 30.0667 沙坝村隐患点
102.8253 30.0261 切山隐患点
102.8036 30.0264 沙漩村隐患点
102.8161 30.0156 秧田村隐患点
120.9772 37.0586 台上滑石矿采空塌陷
121.0136 37.0417 田家苇夼村隐患点
121.0058 37.0447 修家苇夼村隐患点
121.2111 36.9522 峨山后泥石流
121.2036 36.9439 上尹家沟—河西泥石流
122.3397 37.1894 百尺崖
122.3597 37.1414 东岭后
122.3767 37.1342 河崖
122.3439 37.1406 西岭后
122.3133 37.2181 前荫子夼
122.3022 37.2406 雨夼沟
110.5206 28.3689 溪口村
112.0142 28.0281 六寨村
112.0322 28.0725 沙田村
112.5192 28.2139 万寿山社区
110.1617 27.7131 梅树冲
110.1833 27.7133 三洞溪
110.4692 27.7142 利家坡
110.0861 27.6669 细缅垅村
110.1303 27.63 下坪村
110.0697 27.7192 堵家村
110.0908 27.6828 双山村
104.2425 31.5039 雎水场镇
104.3847 31.4292 塔水幸福村
104.3256 31.4622 秀水柏林村
106.8686 31.0597 峰坪村
106.825 30.98 柳垭村
106.8336 31.0311 五爱村2社
106.9778 30.7636 两路社区
106.8694 30.9164 魁字村
102.5286 29.5486 流沙河富庄段
101.622 26.9958 肖家坪滑坡
82.6453 43.7842 尼勒克县东买里村
82.6086 43.7625 尼勒克县乔尔玛零公里
84.1339 43.6994 尼勒克县唐布拉牧业队
83.1533 43.8136 尼勒克县马场乔尔玛
101.9961 23.4017 伙铺滑坡
102.0511 23.4208 拉把哈咪滑坡
104.5967 22.8919 田坝心
104.6256 22.8692 新寨
104.3439 22.8606 半坡
104.3942 22.7697 炭底
104.7339 22.7383 老寨
104.7511 22.8606 下三家
106.7797 27.6558 金谢海公路
106.7797 27.6558 野里－巷口村
106.9067 27.6558 杉木桠
116.4542 35.7894 大庄桥
117.7936 36.0567 青泥沟
105.08 31.1 潼川镇樟泉村5组
104.7208 31.5983 飞凤村5组
104.8622 31.4603 建华乡石垭子村4社
104.8117 31.4256 小枧沟镇新华社区2组
104.7931 31.4575 小枧沟镇紫阳村3社
105.5428 30.6094 余建村糖房咀
104.0514 30.5097 安工堤枫桥映月段
104.0508 30.5067 半边街临时停车场段
104.0547 30.52 戛纳人行桥下左岸
105.3333 28.2081 草山头滑坡
105.2778 28.1531 峰咡岩滑坡
105.3294 28.2244 烂包田滑坡
105.3319 28.2139 老房子滑坡
105.2814 28.1897 木柑树滑坡
105.3233 28.2356 瓦窑塝滑坡
105.1708 28.3378 大榜子滑坡
105.2678 28.2628 大沟头滑坡
105.2567 28.2711 大坪村三社滑坡
105.1703 28.3375 沙木沟滑坡
105.2458 28.13 河边上滑坡
